run_id,day,wind_mwh,solar_mwh,hydro_mwh,thermal_mwh,storage_charge_mwh,storage_discharge_mwh,net_storage_supply_mwh,total_generation_mwh
20260831_073237_stage_B_3f3f96b3,303,95766.339006876136,8200.7013039718731,9806.5758586163283,41259.984175957477,7229.4755022201407,5855.8751567983145,-1373.6003454218262,155033.60034542182
20260831_073237_stage_B_3f3f96b3,304,20050.435775060389,4982.2551579948413,9782.3706470638353,38888.966080514852,9126.4613717574684,7392.43371112355,-1734.0276606339185,73704.027660633918
20260831_073237_stage_B_3f3f96b3,305,35198.321413347221,4742.0861624424579,9749.8523885500344,39075.010637200052,9185.6347449461973,7440.3641434064202,-1745.2706015397771,88765.270601539756
20260831_073237_stage_B_3f3f96b3,306,54442.543869312649,5518.811605507175,9778.9498004680099,39920.873385575927,8532.5192677040322,6911.3406068402664,-1621.1786608637658,109661.17866086375
20260831_073237_stage_B_3f3f96b3,307,16242.473482554382,5826.1467021138651,9779.1798116330701,37871.961462351777,9209.2708350162466,7459.5093763631603,-1749.7614586530863,69719.761458653084
20260831_073237_stage_B_3f3f96b3,308,72400.429667257413,7944.1114614819189,9803.2999687871234,40262.720308189084,8739.7968721867146,7079.2354664712384,-1660.5614057154762,130410.56140571553
20260831_073237_stage_B_3f3f96b3,309,94401.971570394875,16186.837053897085,9791.2389379733231,40704.397586139145,8549.7113073919008,6925.2661589874378,-1624.445148404463,161084.44514840443
20260831_073237_stage_B_3f3f96b3,310,58735.703457428215,16044.910443689143,9792.9748187680834,40299.42353819096,8752.6960951388774,7089.6838370624937,-1663.0122580763837,124873.0122580764
20260831_073237_stage_B_3f3f96b3,311,36314.865519708816,16414.016625678491,9753.7578859380737,39317.281133399003,8841.6903406547335,7161.7691759303352,-1679.9211647243983,101799.92116472439
20260831_073237_stage_B_3f3f96b3,312,113548.35490090259,8273.4842392686405,9789.249819750743,40735.028471408834,8611.1443754251577,6975.0269440943721,-1636.1174313307856,172346.11743133079
20260831_073237_stage_B_3f3f96b3,313,102555.70082810741,27083.277404974539,9789.7739116139455,41555.265930379283,8179.0425003958408,6625.024425320632,-1554.0180750752088,180984.01807507518
20260831_073237_stage_B_3f3f96b3,314,66809.945611728748,29876.455179837645,9793.6160936080942,37986.475845373301,9086.8038449885371,7360.3111144407148,-1726.4927305478222,144466.49273054779
20260831_073237_stage_B_3f3f96b3,315,35441.123474304157,22307.924366428942,9734.605404513577,38477.944364588628,8797.882157027916,7126.2845471926094,-1671.5976098353067,105961.5976098353
20260831_073237_stage_B_3f3f96b3,316,93939.655505667077,14645.080948262095,9729.2980988056952,40116.210621164988,8738.1324942099873,7077.8873203100911,-1660.2451738998961,158430.24517389986
20260831_073237_stage_B_3f3f96b3,317,98045.618717189689,28234.556849922727,9815.5270904031768,40220.596451440186,8454.2058366093024,6847.906727653537,-1606.2991089557654,176316.29910895578
20260831_073237_stage_B_3f3f96b3,318,39094.100017392491,24684.123596555764,9761.2189008132045,37909.484299463598,8625.9306011843582,6987.0037869593298,-1638.9268142250285,111448.92681422507
20260831_073237_stage_B_3f3f96b3,319,17594.651909982829,8800.3551264677826,9805.3435963240445,39446.52261057336,8299.3328597264244,6722.4596163784026,-1576.8732433480218,75646.873243348018
20260831_073237_stage_B_3f3f96b3,320,10430.129697891181,5634.8050884702552,9730.1470654017958,36706.648800395968,9535.4244850483865,7723.693832889192,-1811.7306521591945,62501.730652159196
20260831_073237_stage_B_3f3f96b3,321,82270.850696448266,4587.8031977055416,9762.8052708198502,37500.781006781886,8696.0009039762026,7043.7607322207214,-1652.2401717554812,134122.24017175555
20260831_073237_stage_B_3f3f96b3,322,52988.616406983383,25894.935897034618,9743.1655811727524,37724.514822100304,8743.3300383739643,7082.097331082914,-1661.2327072910502,126351.23270729106
20260831_073237_stage_B_3f3f96b3,323,14426.180990752024,7463.0804150380027,9821.1261393644327,38259.096665058903,9207.8116327018561,7458.3274224885045,-1749.4842102133516,69969.484210213355
20260831_073237_stage_B_3f3f96b3,324,66475.165352970944,3760.0039153795378,9769.7393584271413,39405.96626401406,8899.3415304824466,7208.4666396907805,-1690.8748907916661,119410.87489079167
20260831_073237_stage_B_3f3f96b3,325,61584.998675271563,5345.9732146594461,9765.3662375576514,37745.587928482259,8589.0845051098531,6957.1584491389813,-1631.9260559708719,114441.92605597092
20260831_073237_stage_B_3f3f96b3,326,119173.28453591236,10981.827137881781,9795.4150546736637,41277.646522960145,8464.0697443576901,6855.8964929297281,-1608.173251427962,181228.17325142794
20260831_073237_stage_B_3f3f96b3,327,116103.0188713517,20631.936529102179,9791.5403043844799,41331.343818020163,8041.2606466240122,6513.4211237654499,-1527.8395228585623,187857.83952285853
20260831_073237_stage_B_3f3f96b3,328,73883.498735664427,19831.63554007046,9772.5764054429837,37908.454261730963,8874.5523310991121,7188.3873881902837,-1686.1649429088284,141396.16494290886
20260831_073237_stage_B_3f3f96b3,329,62995.274948518527,26225.373261017769,9718.1006067004473,38357.384499775784,8716.491136908211,7060.3578208956542,-1656.1333160125569,137296.13331601254
20260831_073237_stage_B_3f3f96b3,330,73039.777724527608,28272.836103125355,9823.7498911943603,38844.420843869048,8740.9713827174874,7080.1868200011631,-1660.7845627163242,149980.78456271638
20260831_073237_stage_B_3f3f96b3,331,78596.940810050859,22815.889293851804,9785.2261771682151,39043.790678833589,8536.0366310759819,6914.1896711715453,-1621.8469599044365,150241.84695990448
20260831_073237_stage_B_3f3f96b3,332,71837.741257747941,27800.984009276704,9780.1627778601887,39519.683499144558,8624.0607580494816,6985.4892140200791,-1638.5715440294025,148938.5715440294
20260831_073237_stage_B_3f3f96b3,333,79588.148858423476,29256.423644611441,9796.781098269561,39810.936057170933,8643.6297814495101,7001.3401229741039,-1642.2896584754062,158452.28965847541
20260831_073237_stage_B_3f3f96b3,334,119588.52975949721,25444.175697272934,9849.7807725340735,41799.843763189572,7538.5789078621783,6106.2489153683628,-1432.3299924938156,196682.32999249379
20260831_073237_stage_B_3f3f96b3,335,104879.26106095157,29099.306116451662,5046.0240928735502,42272.956838071623,7144.9900439387884,5787.4419355904174,-1357.548108348371,181297.54810834839
20260831_073237_stage_B_3f3f96b3,336,84548.286301454151,30412.255466462146,5018.3836141184729,40715.163021301923,7495.2021228246949,6071.1137194880048,-1424.0884033366901,160694.0884033367
20260831_073237_stage_B_3f3f96b3,337,52721.839037754631,26519.614306384949,4998.5885269390692,40259.982486007757,7315.917668875757,5925.8933117893612,-1390.0243570863959,124500.0243570864
20260831_073237_stage_B_3f3f96b3,338,45902.653859763996,25892.976222791043,5055.2135774506132,40217.558065577658,7465.272239912164,6046.8705143288562,-1418.4017255833078,117068.40172558332
20260831_073237_stage_B_3f3f96b3,339,46806.497837531315,26186.852749717367,5039.787558985674,40967.625726975384,6740.8624905777151,5460.0986173679512,-1280.7638732097639,119000.76387320974
